,product name,price,image url,category,product dimensions,brand,capacity,configuration,energy star,model,annual energy consumption,refrigerator fresh food capacity,freezer capacity,installation type,part number,form factor,special features,colour,voltage,number of drawers,defrost system,door orientation,door material,shelf type,number of shelves,certification,material,included components,batteries required,manufacturer,country of origin,asin,customer reviews,best sellers rank,date first available,packer,item weight,item dimensions lxwxh,net quantity,generic name,energy efficiency,volume capacity name,batteries included,model name,door material type,model number,number of memory sticks,item model number,item height,item width,wattage,power source,are batteries included?,importer,specific product use,manufacturer part number,size,stain resistant?,assembly required,special feature,cooling type,capacity name,exterior,position,volume,viscosity,imported by,weighted annual energy consumption,style,access location,package dimensions,battery cell type,finish type,mounting hardware,number of items,noise level,ice storage capacity,drawer type,bottle count,color,item part number,primary material,what is in the box?,locking mechanism,mattress comfort,weight,control console,energy efficiency rating,number of doors,is assembly required,shelf material,other display features,whats in the box,number of vents,pattern,item shape,frame type,frame material,orientation,target audience,connector type,inner material type,number of racks,cooling power,product benefits,material type free,item form,hair type,material feature,age range (description),recommended uses for product,scent,mounting type,shipping weight,specific uses for product,item volume,surface recommendation,special ingredients,air flow capacity,controls type,reservoir capacity,standby power consumption,number of speeds,liquid volume,energy consumption,airflow displacement,number of option cycles,shape,specific uses,power and plug description,eu energy efficiency label,start year,compatible devices,operating voltage,maximum voltage,filter type,floor area,operation mode,room type,max number of supported devices,batteries,hardware platform,display technology,battery description,includes rechargeable battery,connectivity technology,does it contain liquid?,maximum rotational speed,noise level spinning,number of standard cycles,noise level washing,contains liquid contents,package information,lower temperature rating,cycle options,noise level drying,controller type,capacity per washing program,standard capacity cycle,setting type,hose length,number of settings,number of jets,water consumption,spinning performance rating,washing performance rating,drying performance rating,water consumption per complete standard program,additional information,lighting,closure type,number of sets,department,storage volume,fuel type,water resistance level,specification met,oven cooking mode,control type,door style,cable length,burner type,outer material,product care instructions,fill material,number of pieces,footboard upholstery,auto focus included,heating method,is dishwasher safe,temperature range,series,fabric type,with lid,is oven safe,bulb shape size,incandescent equivalent wattage,item package quantity,light source wattage,control method,assembly type,warranty summary,speed,bowl material,is microwaveable,occasion,output wattage,has nonstick coating,inner material,capacitance,number of slices,display type,number of programmes,furniture finish,min temperature setting,max temperature setting,warranty type,weight limit,horsepower,lid material,screen size,supported internet services,resolution,refresh rate,model year,ram memory installed size,operating system,hardware interface,graphics coprocessor,tuner technology,response time,remote control description,standing screen display size,viewing angle,image aspect ratio,image contrast ratio,supported image types,screen resolution,audio input compatible with the item,audio output mode,supported audio formats,speaker surround sound channel configuration,video capture resolution,audio wattage,gsm frequencies,total usb ports,actual viewing angle,includes remote,supports bluetooth technology,memory storage capacity,remote control technology,image brightness,battery cell composition,maximum operating distance,media format,aspect ratio,battery power rating,total power outlets,maximum resolution,speakers maximum output power,processor count,wire or cable technology,surround sound channel configuration,audio encoding,ram memory maximum size,light source type,cable feature,colour screen,audio input,processor brand,processor type,cellular technology,display resolution maximum,total hdmi ports
0,"Whirlpool 308 L 3 Star IntelliFresh Inverter Frost Free Double Door (IF INV ELT 355 ARCTIC STEEL (3s) - TL, 2023 Model)","32,990.",https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61JI+avj1xL._AC_SS450_.jpg,refrigerator,71.6D x 61.5W x 167.6H Centimeters,Whirlpool,308 litres,Standard double door,3 Star,IF INV ELT 355 ARCTIC STEEL(3S)-TL,283 Kilowatt Hours,235 litres,73 Litres,Freestanding,22031,Freezer Top,Inverter Compressor,355 ARCTIC STEEL,220,1,Frost Free,Left,Stainless Steel,Toughened Glass,4,Energy Star,Stainless Steel,1 Refrigerator + 1 User Manual + 1 Warranty Card,No,"Whirlpool, Whirlpool of India Ltd.Plot No. A-4, MIDC Ranjangaon,Taluka Shirur, Dist: Pune, Maharashtra 412220, India",India,B00CZP5GSY,"4.1  4.1 out of 5 stars        4,072 ratings    4.1 out of 5 stars","#17,353 in Home & Kitchen (See Top 100 in Home & Kitchen)  #59 in Refrigerators",25 May 2023,"Whirlpool of India Ltd. Plot No. A-4, MIDC Ranjangaon,Taluka Shirur, Dist: Pune, Maharashtra 412220, India, Email - helpdeskindia@whirlpool.com ; Toll Free - 1800 208 1800",57 kg,71.6 x 61.5 x 167.6 Centimeters,1 Count,Refrigerator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Whirlpool 330 L Frost Free Multi-Door Refrigerator(FP 343D PROTTON ROY ALPHA STEEL (N), Alpha Steel)","31,490.",https://m.media-amazon.com/images/I/81ppFqrykaL._AC_SS450_.jpg,refrigerator,,Whirlpool,330 litres,Full-Sized Freezer-on-Top,5 star rating,FP 343D PROTTON ROY ALPHA STEEL (N),,,330 Litres,Freestanding,FP 343D PROTTON ROY ALPHA STEEL (N),Multi-Door,Automatic Defrost,Alpha Steel,,,Frost Free,Multi-door,,Toughened Glass,4,Energy Star,,,No,Whirlpool,India,B00LSJNZDG,3.3  3.3 out of 5 stars        122 ratings    3.3 out of 5 stars,"#413,022 in Home & Kitchen (See Top 100 in Home & Kitchen)  #623 in Refrigerators",7 October 2014,,90 kg,6.01 x 7.17 x 18.74 Meters,,Refrigerator,No Star Rating,330,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Blue Star CF3-125DSW Single Door DeepFreezer (106 Ltrs, White)","14,964.",,refrigerator,56.4 x 57.4 x 84.5 cm; 27 Kilograms,BLUE STAR,,,,,,,,,,Standard Single Door,,White,230 Volts (AC),,,,,,,,,1UNIT || 1N Manuals|| 1N Warranty card,,"Blue Star Limited, Blue Star Limited Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai - 400 020",India,B017M9I75G,4.3  4.3 out of 5 stars        630 ratings    4.3 out of 5 stars,"#104,189 in Home & Kitchen (See Top 100 in Home & Kitchen)  #191 in Refrigerators",16 October 2015,"Blue Star Limited,Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai - 400 020",27 kg,56.4 x 57.4 x 84.5 Centimeters,1 count,Deep Freezer,,,,CF3-125DHS,Hard Top,CF3-125DHS,1,CF3-125DHS,84.5 Centimeters,57.4 Centimeters,75 Watts,Corded Electric,No,Blue Star Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Blue Star CF4-175DSW Single Door Deep Freezer (151 Ltrs, White)","16,700.",,refrigerator,75.4 x 56.4 x 84.5 cm; 32 Kilograms,BLUE STAR,,,,,,,,,,,,White,230,,,,,,,,,1UNIT || 1N Manuals|| 1N Warranty card,,"Blue Star Limited, Blue Star Limited Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai - 400 020",India,B017M9I8ZK,4.3  4.3 out of 5 stars        311 ratings    4.3 out of 5 stars,"#7,189 in Home & Kitchen (See Top 100 in Home & Kitchen)  #25 in Refrigerators",16 October 2015,"Blue Star Limited,Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai - 400 020",32 kg,75.4 x 56.4 x 84.5 Centimeters,1 count,Deep Freezer,,,,CHFSD150DHSW,HARD TOP,CHFSD150DHSW,1,CHFSD150DHSW,84.5 Centimeters,56.4 Centimeters,132 Watt Hours,Corded Electric,No,BLUE STAR INNOVATION CENTRE NEXT TO VIHANG INN HOTEL GHODHUNDER ROAD THANE-400607,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Blue Star CF3-400MPW Double Door Deep Freezer (400 L, White)","28,890.",,refrigerator,144 x 67 x 83.5 cm; 60 Kilograms,Blue Star,,,,,,,,,,Standard Double Door,,white,230 Volts (AC),,,,,,,,,1UNIT || 1N Manuals|| 1N Warranty card,,"Blue Star Limited, Blue Star Limited Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai - 400 020",India,B017M9I95O,4.1  4.1 out of 5 stars        183 ratings    4.1 out of 5 stars,"#103,321 in Home & Kitchen (See Top 100 in Home & Kitchen)  #190 in Refrigerators",16 October 2015,"Blue Star Limited,Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai - 400 020",60 kg,144 x 67 x 83.5 Centimeters,1 count,Deep Freezer,,,,CF3-400MPW,Hard Top,CF3-400MPW,1,CF3-400MPW,83.5 Centimeters,67 Centimeters,260 KW,Corded Electric,No,Blue Star Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Blue Star CF3-500MPW Double Door Deep Freezer (484 L, White)","29,990.",,refrigerator,164 x 67 x 83.5 cm; 65 Kilograms,Blue Star,,,,,,,,,,Standard Double Door,,white,230 Volts (AC),,,,,,,,,1UNIT || 1N Manuals|| 1N Warranty card,,"Blue Star Limited, Blue Star Limited Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai - 400 020",India,B017M9IAJO,4.0  4.0 out of 5 stars        330 ratings    4.0 out of 5 stars,"#23,320 in Home & Kitchen (See Top 100 in Home & Kitchen)  #67 in Refrigerators",16 October 2015,"Blue Star Limited,Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai - 400 020",65 kg,164 x 67 x 83.5 Centimeters,1 count,Deep Freezer,,,,CF3-500MPW,Hard Top,CF3-500MPW,1,CF3-500MPW,83.5 Centimeters,67 Centimeters,290 KW,Corded Electric,No,Blue Star Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tropicool PC05W PC-05 Portable Chiller cum Warmer (White),"4,499.",https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51n+-Le5-ML._AC_SS450_.jpg,refrigerator,25.5 x 21 x 26.5 cm; 540 Grams,Tropicool,,,,,,,,,,,Adjustable Shelves,White,12 Volts (DC),,,,,,,,"Polyurethane, Acrylonitrile Butadiene Styrene, Polycarbonate",,,"Ningbo Co. Ltd.,China",,B01JG7SRC0,3.5  3.5 out of 5 stars        763 ratings    3.5 out of 5 stars,"#99,434 in Home & Kitchen (See Top 100 in Home & Kitchen)  #186 in Refrigerators",1 August 2016,,540 g,25.5 x 21 x 26.5 Centimeters,,Car Accessories,,,,,,,,PC-05,,,,,,"Tropicool Car Gadgets Pvt. Ltd. A-1, First floor, Kumar classics, Aundh, Pune, MH, India 411007 Tel: +91-20-25881704/25883009",,PC05W,S,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Gem 50L Direct Cool Single Door Refrigerator (GRDN-70DGWC, Dark Grey)","8,990.",https://m.media-amazon.com/images/I/61nTvkxi03L._AC_SS450_.jpg,refrigerator,114.3D x 127W x 134.6H Centimeters,Gem,50 litres,Single,5 star rating,GRDN-70DGWC,,,50 Litres,Freestanding,GRDN-70DGWC,Standard Single Door,Portable,Dark Grey,260 Volts,,Direct Cool,,Painted,Wire,1,CE,,,No,Empire Home Appliances Pvt Ltd,India,B06XG19XTK,3.5  3.5 out of 5 stars        65 ratings    3.5 out of 5 stars,"#385,327 in Home & Kitchen (See Top 100 in Home & Kitchen)  #582 in Refrigerators",7 March 2017,,15 kg 800 g,50 x 45 x 53 Centimeters,,Refrigerator,No Star Rating,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Voltas VC320 Visi Cooler Plastic Single Door, 320 Liters, Black","30,590.",,refrigerator,56 x 70.5 x 168 cm; 90 Kilograms,Voltas,320 litres,Single Door,,,,,,,,Stand Alone,,Black,230 Volts,,,,,,,,,visi Cooler,,"voltas, VOLTAS LIMITED, VOLTAS HOUSE 'A', Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai- 400033",India,B0754LKBC4,3.5  3.5 out of 5 stars        37 ratings    3.5 out of 5 stars,"#180,141 in Home & Kitchen (See Top 100 in Home & Kitchen)  #293 in Refrigerators",24 August 2017,"VOLTAS LIMITED, VOLTAS HOUSE 'A', Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai- 400033",90 kg,56 x 70.5 x 168 Centimeters,1 Count,visi Cooler,,,,,,320lsd-visi-cooler,1,320lsd-visi-cooler,168 Centimeters,70.5 Centimeters,,,No,"VOLTAS LIMITED, VOLTAS HOUSE 'A', Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai- 400033",,,,,,Compact,Compressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Whirlpool 240 L Frost Free Triple-Door Refrigerator(FP 263D Protton Roy, Alpha Steel)","25,500.",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61NgOaoGOWL._AC_SS450_.jpg,refrigerator,64D x 56W x 161H Centimeters,Whirlpool,240 litres,Full-Sized Freezer-on-Top,,FP 263D Protton Roy,170 Kilowatt Hours,176 litres,64 Litres,Freestanding,FP 263D Protton Roy,Multi-Door,"Moisture Retention Technology, Microblock Technology",Alpha Steel,230 Volts,3,Frost Free,Multi-door,,Toughened Glass,3,Energy Rating,steel,1,No,"Whirlpool of India Limited, Whirlpool of India Limited",India,B078YHT1FR,"4.0  4.0 out of 5 stars        2,648 ratings    4.0 out of 5 stars","#16,628 in Home & Kitchen (See Top 100 in Home & Kitchen)  #55 in Refrigerators",12 January 2018,Whirlpool of India Limited,11 kg,64 x 56 x 161 Centimeters,1 set,Refrigerator,No Star Rating,240,No,,,,,,,,,,,"Whirlpool of India Ltd. Plot No. A-4, MIDC Ranjangaon,Taluka Shirur, Dist: Pune, Maharashtra 412220, India, Email - helpdeskindia@whirlpool.com ; Toll Free - 1800 208 1800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
